meridian massage, acupressure massage		:	경락마사지 
직장 		:	1.(일자) job, work; (일터) office, workplace, place of work[employment] 첫 직장  one's first job
jun·ior 	[ˈdʒuːniə(r)] 	:	1.형용사 하급의, 부하의 junior employees  하급 직원들  2.형용사 (특히 스포츠에서) 주니어[청소년]의 the world junior tennis championships  세계 주니어 테니스 선수권 대회  3.형용사 (특히 미국에서 아버지와 이름이 같은 남자 이름 뒤에 붙여) 주니어[2세]의
pre·cious 	[ˈpreʃəs] 	:	1.형용사 (희귀하고 많은 금전적 가치를 지닌) 귀중한, 값비싼 a precious vase  귀중한 화병  2.형용사 (낭비해서는 안 될) 귀한[소중한] Clean water is a precious commodity in that part of the world.  이 세상의 그 지역에서는 깨끗한 물이 귀한 생필품이다.  3.형용사 (개인에게) 소중한 precious memories/possessions  소중한 추억/재산
sub·ject 		:	1.명사 (논의 등의) 주제[대상/화제], (다뤄지고 있는) 문제[사안] an unpleasant subject of conversation  불쾌한 대화 주제[화제]  2.명사 학과, 과목 Biology is my favourite subject.  생물학은 내가 좋아하는 과목이다.  3.명사 (그림·사진 등의) 대상[소재] Focus the camera on the subject.  카메라의 초점을 대상[피사체]에 맞추어라.
공모전 		:	1.contest exhibit 미술 공모전에 입상하다  be a finalist in an arts contest
ex·hibit 	[ɪɡˈzɪbɪt] 	:	1.동사 전시하다 They will be exhibiting their new designs at the trade fairs.  그들은 무역 박람회에서 새 디자인을 전시할 것이다.  2.동사 (감정특질 등을) 보이다[드러내다] The patient exhibited signs of fatigue and memory loss.  그 환자는 피로감과 기억력 감퇴를 보였다.  3.명사 전시품
ex·hib·ition 	[ˌeksɪˈbɪʃn] 	:	1.명사 전시회 Have you seen the Picasso exhibition?  피카소 전시회 봤니?  2.명사 전시 She refused to allow the exhibition of her husband’s work.  그녀는 남편의 작품이 전시되는 것을 허락하지 않았다.  3.명사 (기교 등의) 발휘; (감정 등의) 표현[드러냄] We were treated to an exhibition of the footballer’s speed and skill.  우리는 그 축구 선수가 스피드와 기량을 발휘하는 것을 보는 즐거움을 누렸다.
settle for 		:	1. 동사 …으로 만족하다, …을 (불만스럽지만) 받아들이다.
set·tle 	[ˈsetl] 	:	1.동사 (논쟁 등을) 해결하다[끝내다], 합의를 보다 to settle a dispute/an argument/a matter  분쟁/언쟁/문제를 해결하다  2.동사 (마침내) 결정하다[정리하다] It’s all settled—we’re leaving on the nine o’clock plane.  모든 게 결정되었어. 우린 9시 비행기로 떠나.  3.동사 정착하다 She settled in Vienna after her father’s death.  그녀는 아버지가 돌아가신 후 비엔나에 정착했다.
estimate		:	1.동사 평가하다. 사물의 값이나 가치, 수준 등을 헤아려 정하다.  To guess and determine the price, value, level, etc., of an object.  가치를 평가하다.

