ter·rify 	[ˈterɪfaɪ] 	:	1.동사 (몹시) 무섭게[겁먹게] 하다Flying terrifies her.비행기를 타는 것은 그녀를 무섭게 한다[비행기를 타는 것이 그녀는 무섭다].
red-hand·ed 	[-hǽndid] 	:	1.형용사 손이 빨간; 손이 피투성이의2.형용사 현행범의
chill 	[tʃɪl] 	:	1.명사 냉기, 한기There’s a chill in the air this morning.오늘 아침에는 공기가 차다.2.명사 오한3.명사 오싹한 느낌a chill of fear/apprehension두려움/불안감에 오싹해지는 기분
whine 	[waɪn] 	:	1.동사 징징[칭얼]거리다, 우는 소리를 하다Stop whining그만 징징거려2.동사 낑낑[끙끙]거리다The dog whined and scratched at the door.개가 낑낑거리며 문을 긁었다.3.동사 끼익끽 하는 소리를 내다
whip[lick]…into shape 		:	1.…을 정상화하다A carpenter can lick a broken chair into shape.목수는 부러진 의자를 온전한 것으로 만들 수 있다.2.사람으로 만들어 놓다A doctor whipped him into shape.의사는 그를 사람으로 만들어 놓았다.
|make |up (with somebody) 		:	1. (~와) 화해하다
|wind somebody⇄|up 		:	1. ~를 약올리다
grin 	[ɡrɪn] 	:	1.동사 (소리 없이) 활짝[크게] 웃다She grinned amiably at us.그녀가 우리를 보고 다정하게 활짝 웃었다.2.명사 (소리 없이) 활짝[크게] 웃음She gave a broad grin.그녀가 크게 활짝 웃어 보였다.
fool 	[fuːl]	:	1.명사 바보Don’t be such a fool그렇게 바보같이 굴지 마2.명사 (과거 왕이 고용하던) 어릿광대3.명사 풀(과일을 삶아 으깬 것에 크림이나 커스터드(custard)를 섞어 차게 먹는 디저트)rhubarb fool대황 풀
|fairy tale 		:	1.명사 동화2.명사 꾸며낸 이야기, 거짓말Now tell me the truth: I don’t want any more of your fairy stories.자 이제 진실을 말해 봐. 더 이상 네가 꾸며낸 얘긴 듣고 싶지 않아.
be |onto something		:	1. (대단한 것을) 발견해[이뤄] 낼 가능성이 있다
What are you getting at?		:	1. 결국 자네는 무슨 말을 하고자 하는 건가?
get at		:	1.…에 도달하다, 닿다2.…을 잡다, 수중에 넣다3.[일]에 착수하다, 시작하다
weary	[ˈwɪri] 	:	1.형용사 (몹시) 지친, 피곤한a weary traveller지친 여행자2.형용사 지치게[피곤하게] 하는a weary journey피곤한 여정3.형용사 ~에 싫증난Students soon grow weary of listening to a parade of historical facts.학생들은 이어지는 역사적 사실들을 듣는 것에 금방 싫증을 낸다.
re·peti·tive	[rɪˈpetətɪv]	:	1.형용사 (지루할·단조로운 정도로) 반복적인a repetitive task.반복적인 작업2.형용사 (계속) 반복되는a repetitive pattern of behaviour반복되는 행동 양식
mon·ot·on·ous 	[mə|nɑːtənəs] 	:	1.형용사 (지루할 정도로) 단조로운[변함없는]a monotonous voice/diet/routine단조로운 목소리/식사/변함없는 틀[일상]
wealthy 	[ˈwelθi] 	:	1.형용사 부유한, 재산이 많은a wealthy nation부유한 나라[부국(富國)]2.형용사 부자들
trump 	[trʌmp] 	:	1.명사 (일부 카드놀이에서) 으뜸패I played a trump and won the trick.나는 으뜸패를 내어 그 판을 이겼다.2.명사 (일부 카드놀이에서 한 벌의) 으뜸패What’s trumps?으뜸패는 뭐지?3.동사 으뜸패를 내다
I brought a friend along today.		:	오늘 친구를 한 명 함께 데려왔어.
perk 	[pə́ːrk] 	:	1.자동사 <귀·꼬리 등이> 쫑긋 서다 ((up)); 목에 힘을 주다; 젠체하다, 뽐내다, 으스대다; 목에 힘을 주다He perks over his neighbors.그는 이웃 사람들에게 으스댄다.2.자동사 (앓고 난 후에) 기운을 회복하다, 생기가 나다, 활발해지다You'll soon perk up.곧 기운을 되찾을 거야.3.타동사 멋부려 차려입다 ((out, up))
argh		:	1.감탄사 앗, 으악((좌절, 성가심, 고통, 혼란 등을 나타낼 때 사용하는 감탄사))I spent 2 hours writing my report. Argh I didn't save it.보고서를 2 시간이나 썼다. 앗 저장을 안 했네.2.감탄사 헉, 으악((치명상을 입고 죽기 직전에 외치는 외마디 비명))ARGH After giving a cry, he was suffering and lying at death's door.으악 외마디 비명을 외친 후, 그는 고통을 받으며 죽어가고 있었다.
dash	[dæʃ]	:	1.명사 황급히[맹렬히] 달려감, 돌진, 질주When the doors opened, there was a mad dash for seats.문이 열리자 (사람들이) 자리를 찾아 미친 듯이 달려갔다.2.명사 (…을) 황급히[서둘러] 함a last-minute dash to buy presents마지막 순간에 서둘러 선물들을 사기3.명사 (다른 것에 첨가하는) 소량[약간]Add a dash of lemon juice.레몬주스를 약간 넣어라.
peek	[piːk]	:	1.동사 (재빨리) 훔쳐보다No peeking훔쳐보기 없기2.동사 살짝[아주 조금] 보이다Her feet peeked out from the end of the blanket.담요 끝자락 밖으로 그녀의 발이 살짝 보였다.3.명사I took a quick peek inside.나는 재빨리 안을 훔쳐보았다.
flinch	[flɪntʃ] 	:	1.동사 움찔[주춤]하다He flinched at the sight of the blood.그는 피를 보고 움찔했다.
gosh 	[ɡɑːʃ] 	:	1.감탄사 이크, 어이쿠Gosh, is that the time?어이쿠, 시간이 저렇게 됐어?
grumpy 	[ˈɡrʌmpi] 	:	1. 형용사 성격이 나쁜
in ages 		:	1.오랫 동안I haven't read a book in ages.책 읽은 지 오래 됐어.2.오랫동안3."오랫동안"이라는 뜻이다.
sulk	[sʌlk]	:	1.동사 부루퉁하다, 샐쭉하다He went off to sulk in his room.그가 부루퉁해서 자기 방으로 가 버렸다.2.명사 (한동안) 부루퉁함[샐쭉함]Jo was in a sulk upstairs.조는 위층에서 부루퉁해 있었다.
shat·ter	[ˈʃætə(r)]	:	1.동사 산산이 부서지다, 산산조각 나다; 산산이 부수다. 산산조각 내다He dropped the vase and it shattered into pieces on the floor.그가 그 꽃병을 떨어뜨려 그것이 바닥에서 산산이 부서졌다.2.동사 (특히 희망·신념 등을[이]) 산산조각 내다[산산조각 나다]Anna’s self-confidence had been completely shattered.안나의 자신감은 완전 산산조각 난 상태였다.3.동사 엄청난 충격을 주다The unexpected death of their son shattered them.예기치 않은 아들의 죽음은 그들을 엄청난 충격에 빠뜨렸다.
aba·lone 	[|æbə|loʊni] 	:	1. 명사 전복
silly	[ˈsɪli]	:	1.형용사 어리석은, 바보 같은a silly idea어리석은 생각2.형용사 우스꽝스러운, 유치한, 철없는a silly sense of humour유치한 유머 감각3.형용사 (실용적이지 않고) 장난감 같은; 심각하지 않은We had to wear these silly little hats.우리는 이 장난감 같은 작은 모자를 써야 했다.
keep somebody |company		:	1.~의 곁에 있어 주다[친구가 되어 주다]I’ll keep you company while you’re waiting.네가 기다리는 동안 함께 있어 줄게.
stub·born		:	1.형용사 완고한, 고집스러운, 완강한He was too stubborn to admit that he was wrong.그는 너무 완고해서 자기 잘못을 인정하지 않았다.2.형용사 없애기[다루기] 힘든, 고질적인a stubborn cough/stain잘 안 낫는[고질적인] 기침/잘 안 없어지는 얼룩
picky		:	1. 형용사 까다로운, 별스러운
ar·ro·gant	[ˈærəɡənt]	:	1. 형용사 오만한
in·con·sid·er·ate	[ˌɪnkənˈsɪdərət] 	:	1.형용사 사려깊지 못한inconsiderate behaviour사려깊지 못한 행동
as[so] far as		:	1.(거리·범위·정도가) …까지Yet-got it as far as June Snyder. Please finish them for me.준 스나이더까지 끝냈는데 나머지를 좀 부탁해.2.…와 같은[같이 먼] 거리까지3.…하는 한; …에 관한 한
at (your) |ease 		:	1.마음이 편안한I never feel completely at ease with him.나는 그와 함께 있을 때 마음이 완전히 편안한 적이 한 번도 없다.
op·pos·ite 	[|ɑːpəzət] 	:	1.형용사 (보통 마주 보고 있는 둘 중) 다른 편[쪽]의[건너편의]Answers are given on the opposite page.해답은 다른 쪽[옆] 페이지에 제시되어 있다.2.형용사 … 맞은편의I could see smoke coming from the windows of the house directly opposite.내 눈에 바로 맞은편 집 창문에서 연기가 나오는 게 보였다.3.형용사 (정)반대의I watched them leave and then drove off in the opposite direction.나는 그들이 떠나는 것을 지켜보다가 차를 몰고 반대 방향으로 떠났다.
phew 	[fjuː] 	:	1.감탄사 후유, 휴(더울 때·지쳤을 때·안도감을 느낄 때 내는 소리)Phew, it’s hot in here후유, 이 안은 더워
|come |over (to…) 		:	1. (특히 누구의 집에) 들르다
